"text","sentiment"
"THey are so cool!	1","Neutral"
"Easy to use.	1","Positive"
"Better Than New.	1","Positive"
"What possesed me to get this junk","Negative"
"Piece of trash.	0","Neutral"
"A pretty good product.	1","Very Positive"
"This is a great phone!.	1","Positive"
"For the price on Amazon","Neutral"
"Their Research and Development division obviously knows what they're doing.	1","Neutral"
"The real killer is the volume","Neutral"
"Those phones are working just fine now.	1","Very Positive"
"I am more than happy with this product.	1","Very Positive"
"Poor Construction.	0","Negative"
"This is infuriating.	0","Neutral"
"Overall","Neutral"
"Sprint charges for this service.	0","Negative"
"It is cheap","Negative"
"It fits my ear well and is comfortable on.	1","Positive"
"It doesn't work in Europe or Asia.	0","Negative"
"clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.	1","Neutral"
"I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.	1","Neutral"
"I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.	1","Very Positive"
"the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.	0","Very Negative"
"the charger worked for about a week and then completely stopped charging my phone.	0","Very Positive"
"Poor product.	0","Negative"
"However I needed some better instructions.	0","Positive"
"You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.	0","Very Positive"
"Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).	1","Very Positive"
"Steer clear of this product and go with the genuine Palm replacementr pens","Very Positive"
"DO NOT BUY DO NOT BUYIT SUCKS	0","Neutral"
"This is a great product..... sure beats using your fingers!.	1","Positive"
"Plus","Neutral"
"All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.	1","Negative"
"Very Dissapointing Performance.	0","Positive"
"Don't make the same mistake that I did and please don't buy this phone.	0","Neutral"
"This phone might well be the worst I've ever had in any brand.	0","Neutral"
"Case was more or less an extra that I originally put on but later discarded because it scratched my ear.	0","Very Negative"
"I recommend iGo to anyone with different brand cell phones/mp3 players in the family.	1","Neutral"
"Don't bother - go to the store.	0","Positive"
"I posted more detailed comments under the grey or black phone","Very Negative"
"I did not have any problem with this item and would order it again if needed.	1","Negative"
"You get what you pay for I guess.	0","Neutral"
"Not only did the software do a great job of this","Neutral"
"im surprised this is a good quality car charger and there's not much reviews about it.	1","Neutral"
"These are fabulous!	1","Neutral"
"However","Neutral"
"I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.	1","Positive"
"Disappointing accessory from a good manufacturer.	0","Neutral"
"Performed awful -- muffled","Negative"
"Very wind-resistant.	1","Positive"
"Obviously they have a terrible customer service","Neutral"
"They do not last forever","Neutral"
"I contacted the company and they told me that","Neutral"
"Linksys should have some way to exchange a bad phone for a refurb unit or something!	0","Neutral"
"Phone is sturdy as all nokia bar phones are.	1","Positive"
"Great phone.	1","Positive"
"When I placed my treo into the case","Negative"
"I'm pleased.	1","Neutral"
"Battery is terrible.	0","Negative"
"I found the product to be easy to set up and use.	1","Very Positive"
"The earpiece on this is too large or too heavy...it keeps falling out of my ear.	0","Negative"
"Utter crap.. Sound quality is TERRIBLE.	0","Negative"
"The charger arrived within the promised timeframe","Very Positive"
"No ear loop needed","Neutral"
"Finally","Positive"
"The handsfree part works fine","Very Positive"
"Talk about USELESS customer service.	0","Positive"
"It felt too light and ""tinny."".	0","Neutral"
"This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.	0","Negative"
"I'm happy about this purchase- good quality and low price.	1","Very Positive"
"I love the look and feel of Samsung flipphones.	1","Positive"
"Its well-designed and very sharp -- the blue is a very nice color.	1","Very Positive"
"Does everything it should and more.	1","Neutral"
"I could not recommend these more.	0","Negative"
"Nice Sound.	1","Positive"
"Looks good in the picture","Positive"
"Much less than the jawbone I was going to replace it with.	1","Negative"
"Setup went very smoothly.	1","Positive"
"its extremely slow and takes forever to do anything with it.	0","Negative"
"A must study for anyone interested in the ""worst sins"" of industrial design.	0","Positive"
"The first thing that happened was that the tracking was off.	0","Neutral"
"It is well made","Positive"
"Then I had to continue pairing it periodically since it somehow kept dropping.	0","Positive"
"Can't upload ringtones from a third party.	0","Neutral"
"Bluetooth does not work","Negative"
"Truly awful.	0","Neutral"
"It works fine on my Motorola 325 cellphone","Very Positive"
"The volume for the ringer is REAL good (you have choices how loud).	1","Positive"
"And none of the tones is acceptable.	0","Neutral"
"camera color balance is AWFUL.	0","Positive"
"This product is clearly not ready for prime time","Neutral"
"I love the ringtones because they are so upbeat!	1","Positive"
"Chinese Forgeries Abound!.	0","Neutral"
"Easy to pair with my Samsung Cell.	1","Positive"
"The instructions didn't explain that a microphone jack could be used.	0","Negative"
"i would advise to not purchase this item it never worked very well.	0","Positive"
"Too bad you have to pay up to $$$ a month for the service!	0","Negative"
"Works well.	1","Positive"
"The nokia CA-42 USB cable did not work with my phone.	0","Negative"
"Clear crisp sound.	1","Positive"
"I have to use the smallest earpieces provided","Neutral"
"The biggest complaint I have is","Negative"
"The design might be ergonomic in theory but I could not stand having these in my ear.	0","Negative"
"Do NOT buy if you want to use the holster.	0","Negative"
"The phone can also take great pictures and even video clips.	1","Positive"
"It doesn't make you look cool.	0","Negative"
"Because both ears are occupied","Neutral"
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time","Very Positive"
"Also","Neutral"
"You can't beat the price on these.	1","Negative"
"* Comes with a strong light that you can use to light up your camera shots","Positive"
"lightweight and works well.	1","Positive"
"So just beware.	0","Neutral"
"I love this cable - it allows me to connect any mini-USB device to my PC.	1","Positive"
"So anyone near you will hear part of your conversation.	0","Neutral"
"This is cool because most cases are just open there allowing the screen to get all scratched up.	1","Positive"
"I bought this phone as a replacement for my StarTac and have regretted it since.	0","Negative"
"Appears to actually outperform the original battery from China that came with my V325i.	1","Negative"
"Can't store anything but phone numbers to SIM.	0","Positive"
"It lasts less than 3o minutes","Negative"
"Poor quality.	0","Negative"
"jabra ear gels ""R"" the best!.	1","Neutral"
"Not worth it.	0","Negative"
"The phone crashed completely and now I have to get it replaced.	0","Neutral"
"It quit working after I'd used it for about 18 months","Neutral"
"Unfortunately it will not recharge my iPhone 4s","Negative"
"It was a great phone.	1","Positive"
"if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.	0","Positive"
"Good value","Positive"
"My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.	1","Negative"
"This is simply the BEST bluetooth headset for sound quality!	1","Positive"
"Think it over when you plan to own this one!This sure is the last MOTO phone for me!	0","Neutral"
"In the span of an hour","Neutral"
"I have always used corded headsets and the freedom from the wireless is very helpful.	1","Very Positive"
"This case has passed the one year mark and while it shows signs of wear","Very Negative"
"Other than that","Neutral"
"It has everything I need and I couldn't ask for more.	1","Neutral"
"After receiving and using the product for just 2 days it broke.	0","Positive"
"This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.	1","Very Positive"
"None of the three sizes they sent with the headset would stay in my ears.	0","Neutral"
"T-Mobile has the best customer service anywhere.	1","Very Positive"
"Arrived quickly and much less expensive than others being sold.	1","Very Negative"
"We have tried 2 units and they both failed within 2 months.. Pros	0","Negative"
"Provides good protection and looks classy","Very Positive"
"Krussel Always good.	1","Neutral"
"The tracfonewebsite is user friendly and makes it easy toactivate","Very Positive"
"The design is very good.4.	1","Positive"
"I great reception all the time.	1","Positive"
"I would highly recommend this product.	1","Positive"
"Couldn't use the unit with sunglasses","Neutral"
"It dit not work most of the time with my Nokia 5320.	0","Neutral"
"Bought mainly for the charger","Positive"
"If you like a loud buzzing to override all your conversations","Negative"
"Fantastic buy and will get again for whatever my next phone is	1","Positive"
"stay away from this store","Positive"
"This BlueAnt Supertooth hands-free phone speaker is AWESOME.	1","Neutral"
"Does not fit.	0","Negative"
".... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.	1","Very Positive"
"It is light","Neutral"
"disappointing.	0","Neutral"
"Blue Ant is easy to use.	1","Positive"
"Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.	1","Neutral"
"The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.	0","Negative"
"Then a few days later the a puff of smoke came out of the phone while in use.	0","Negative"
"It's very convenient and simple to use - gets job done & makes the car ride so much smoother.	1","Very Positive"
"The nano stated it.My son was dissapointed.	0","Neutral"
"The sound quality is excellent as well.	1","Positive"
"Its the best headset I have used.	1","Positive"
"Would not reccommend.	0","Negative"
"They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.	1","Very Positive"
"Just what I wanted.	1","Neutral"
"This particular model would not work with my Motorola Q smartphone.	0","Neutral"
"wont work right or atleast for me.	0","Very Positive"
"in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.	0","Negative"
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.	0","Neutral"
"I really wanted the Plantronics 510 to be the right one","Positive"
"Great product.	1","Positive"
"Crisp and Clear.	1","Neutral"
"AFter the first charge kept going dead after 12 minutes.	0","Negative"
"VERY cheap plastic","Very Negative"
"I get absolutely horrible reception in my apartment","Negative"
"The reception has been generally good.	1","Neutral"
"Excellent sound","Positive"
"Great bluetooth!.	1","Positive"
"I highly recommend this case.	1","Positive"
"WORTHWHILE.	1","Neutral"
"This is a great deal.	1","Positive"
"After my phone got to be about a year old","Neutral"
"I am sorry I made this purchase.	0","Negative"
"I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.	0","Very Positive"
"Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.	0","Negative"
"It was horrible!.	0","Neutral"
"I don't think it would hold it too securly on your belt.	0","Neutral"
"This allows the possibility of double booking for the same date and time after the first.	0","Neutral"
"They work about 2 weeks then break.	0","Positive"
"It is simple to use and I like it.	1","Positive"
"It's a great tool for entertainment","Very Positive"
"I can't use this case because the smell is disgusting.	0","Negative"
"NOT WHAT I WANTED.	0","Negative"
"I own 2 of these cases and would order another.	1","Neutral"
"Great Phone.	1","Positive"
"I bought this battery with a coupon from Amazon and I'm very happy with my purchase.	1","Positive"
"The internet access was fine","Positive"
"Perfect for the PS3.	1","Positive"
"Five star Plus","Positive"
"A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.	1","Neutral"
"$50 Down the drain.	0","Negative"
"I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.	0","Negative"
"Good","Positive"
"For the price this was a great deal.	1","Positive"
"Great price","Positive"
"If there is a wind","Neutral"
"Yes it's shiny on front side - and I love it!	1","Very Positive"
"Does Not Work.	0","Negative"
"At first I thought I was grtting a good deal at $7.44","Very Positive"
"The reception through this headset is excellent.	1","Neutral"
"2 thumbs up to this seller	1","Neutral"
"I have a Verizon LG phone and they work well together","Very Positive"
"Improper description.... I had to return it.	0","Negative"
"#1 It Works - #2 It is Comfortable.	1","Positive"
"Battery charge-life is quite long.	1","Negative"
"The Jabra EarGels fit my ears very well.	1","Very Positive"
"Battery has no life.	0","Neutral"
"I checked everywhere and there is no feature for it which is really disappointing.	0","Negative"
"Product is exactly as described.	1","Neutral"
"Gets a signal when other Verizon phones won't.	1","Neutral"
"Doesn't do the job.	0","Negative"
"I would recommend it.	1","Positive"
"Plan on ordering from them again and again.	1","Neutral"
"That being said","Neutral"
"I have been very satisfied with this cell phone from day one.	1","Very Positive"
"They keep getting better and better (this is my third one and I've had numerous Palms too).	1","Very Positive"
"Awkward to use and unreliable.	0","Negative"
"The shipping time was also very quick!	1","Positive"
"Not as good as I had hoped.	0","Neutral"
"Good case!.	1","Positive"
"Doesn't Work.	0","Negative"
"Really good product.	1","Positive"
"Unfortunately it did not work.	0","Negative"
"All three broke within two months of use.	0","Negative"
"dont buy it.	0","Neutral"
"My father has the V265","Neutral"
"However","Neutral"
"The calls drop","Very Negative"
"Horrible","Negative"
"I don't like this Nokia either.	0","Negative"
"Reaching for the bottom row is uncomfortable","Very Negative"
"I have bought this Nokia cell phone a few weeks ago and it was a nightmare.	0","Neutral"
"It would take too long to describe how bad my customer service experience has been with Amazon.	0","Neutral"
"the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!	0","Neutral"
"Terrible.. My car will not accept this cassette.	0","Positive"
"Product is useless","Negative"
"It's not what it says it is.	0","Negative"
"Stay Away From the Q!.	0","Neutral"
"Used and dirty.	0","Neutral"
"Very unreliable service from T-mobile !	0","Very Negative"
"Not good enough for the price.	0","Negative"
"I bought two of them and neither will charge.	0","Neutral"
"It looks very nice.	1","Positive"
"This is an excellent tool","Positive"
"I have read other's reviews here but I haven't had any problem with it.	1","Negative"
"These products cover up the important light sensor above the ear outlet.	0","Positive"
"Comfortable in my hand.	1","Positive"
"Just does not work.	0","Neutral"
"Poor Reliability.	0","Negative"
"(It works!)	1","Neutral"
"If I take a picture","Neutral"
"Terrible product","Negative"
"Last time buying from you.	0","Neutral"
"It was a waste of my money.	0","Negative"
"So far it has worked like a charm.	1","Very Positive"
"I have only had it for a few weeks","Neutral"
"But","Neutral"
"Would recommend this item.	1","Positive"
"It's been my choice headset for years.Great sound; good volume; good noise cancellation.	1","Very Positive"
"Nice case","Neutral"
"The item received was Counterfeit.	0","Positive"
"Just really good.. So far","Positive"
"Works fine.	1","Positive"
"I received my headset in good time and was happy with it.	1","Very Positive"
"I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.	1","Very Positive"
"My sister has one also and she loves it.	1","Positive"
"Good Quality.	1","Positive"
"This is by far the worst purchase I've made on Amazon.	0","Neutral"
"Excellent dual-purpose headset.	1","Positive"
"Excellent!.	1","Neutral"
"Does not work for listening to music with the cingular 8125.	0","Negative"
"It seems completely secure","Very Positive"
"The bottowm line...another worthless","Negative"
"Having trouble with volume.	0","Negative"
"The only good thing was that it fits comfortably on small ears.	1","Neutral"
"WARNING - DO NOT BUY!!.	0","Positive"
"I am pairing this with my iphone","Neutral"
"When it opens","Neutral"
"I didn't want the clip going over the top of my ear","Negative"
"Best headset ever!!!.	1","Positive"
"Don't trust their website and don't expect any helpful support.	0","Negative"
"It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.	1","Neutral"
"The speaker is of low quality so as making the ring tones sound very cheap.	0","Very Negative"
"Fits comfortably","Neutral"
"Excellent product for the price.	1","Positive"
"Bad Reception.	0","Negative"
"This product is very High quality Chinese CRAP!!!!!!	0","Positive"
"It was quite comfortable in the ear.	1","Positive"
"Great phone.	1","Positive"
"Don't buy this product - It fails!.	0","Negative"
"Everything about this product is wrong.First	0","Neutral"
"The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.	1","Neutral"
"This was utterly confusing at first","Very Negative"
"Terrible phone holder.	0","Negative"
"The cutouts and buttons are placed perfectly.	1","Neutral"
"I love being able to use one headset for both by land-line and cell.	1","Positive"
"Problem is that the ear loops are made of weak material and break easily.	0","Very Negative"
"Not nearly as good looking as the AMAZON picture makes it look.	0","Neutral"
"But despite these few flaws","Negative"
"How stupid is that?	0","Very Positive"
"I can hear while I'm driving in the car","Neutral"
"Seller shipped quickly and much cheaper than the competitors.	1","Positive"
"Good show","Positive"
"So I bought about 10 of these and saved alot of money.	1","Positive"
"It always cuts out and makes a beep beep beep sound then says signal failed.	0","Negative"
"Couldn't figure it out	0","Negative"
"My phone sounded OK ( not great - OK)","Neutral"
"So I had to take the battery out of the phone put it all back together and then restart it.	0","Negative"
"While I managed to bend the leaf spring back in place","Neutral"
"Leopard Print is wonderfully wild!.	1","Positive"
"Works for me.	1","Positive"
"Saggy","Negative"
"much better than the hard plastic cases.	1","Neutral"
"It also had a new problem.	0","Positive"
"Happy so far!.	1","Positive"
"cool phone.	1","Positive"
"Works good.	1","Positive"
"Motorola finally got the voice quality of a bluetooth headset right.	1","Positive"
"It looses connection to the phone even when it is within a couple feet between the two.	0","Negative"
"but it is great","Positive"
"Makes it easier to keep up with my bluetooth when I'm not wearing it.	0","Negative"
"As I said above....PRETTY USELESS!	0","Neutral"
"Never got it!!!!!	0","Negative"
"This pair of headphones is the worst that I have ever had sound-wise.	0","Negative"
"[...] down the drain because of a weak snap!	0","Very Negative"
"Does not charge the Cingular (ATT) 8525 phone.	0","Neutral"
"You get extra minutes so that you can carry out the call and not get cut off.""	1","Negative"
"However","Neutral"
"I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.	0","Positive"
"The headset fulfills my requirements so I am happy with my purchase.	1","Very Positive"
"Logitech Bluetooth Headset is a 10!.	1","Neutral"
"I like the fact that it rests lightly against your ear","Positive"
"A lot of websites have been rating this a very good phone and so do I.	1","Positive"
"I have tried these cables with my computer and my iPod and it works just fine.	1","Positive"
"The mic there is a joke","Neutral"
"I'm returning them.	0","Neutral"
"I does not maintain a connection with the computer while it is on my lap.	0","Negative"
"It is easy to turn on and off when you are in the car and the volume controls are quite accessable.	1","Positive"
"I have had mine for about a year and this Christmas I bought some for the rest of the family.	1","Positive"
"Otherwise","Neutral"
"nice leather.	1","Positive"
"I had to purchase a different case.	0","Neutral"
"It is a joy to use.	1","Positive"
"Very much disappointed with this company.	0","Very Negative"
"Very satisifed with that.	1","Positive"
"It didn't charge for me.	0","Negative"
"This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!	1","Neutral"
"Buttons are too small.	0","Neutral"
"Just reading on the specs alone makes you say WOW.	1","Neutral"
"Love it.. Great armband.	1","Very Positive"
"I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.	1","Very Positive"
"However","Neutral"
"I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.	1","Very Positive"
"I was very impressed with the price of the cases.	1","Very Positive"
"Also makes it easier to hold on to.	1","Positive"
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment","Neutral"
"It's pretty easy.	1","Positive"
"I cannot make calls at certain places.	0","Neutral"
"however","Neutral"
"Beautiful styling though.	1","Positive"
"This company charge me a restocking fee and still not given me my refund back.	0","Neutral"
"I'm trying to return it for a refund.	0","Neutral"
"I plugged it in only to find out not a darn thing worked.	0","Neutral"
"Excellent product.	1","Positive"
"Earbud piece breaks easily.	0","Negative"
"Lousy product.	0","Negative"
"This phone tries very hard to do everything but fails at it's very ability to be a phone.	0","Very Negative"
"It is the best charger I have seen on the market yet.	1","Very Positive"
"SWEETEST PHONE!!!	1","Neutral"
":-)Oh","Positive"
"It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.	1","Negative"
"Not enough volume.	0","Neutral"
"Echo Problem....Very unsatisfactory	0","Neutral"
"you could only take 2 videos at a time and the quality was very poor.	0","Positive"
"don't waste your money.	0","Positive"
"I am going to have to be the first to negatively review this product.	0","Neutral"
"Adapter does not provide enough charging current.	0","Neutral"
"There was so much hype over this phone that I assumed it was the best","Neutral"
"You also cannot take pictures with it in the case because the lense is covered.	0","Negative"
"Phone falls out easily.	0","Negative"
"It didn't work","Negative"
"The text messaging feature is really tricky to use.	0","Neutral"
"I'm really disappointed all I have now is a charger that doesn't work.	0","Positive"
"Painful on the ear.	0","Negative"
"Lasted one day and then blew up.	0","Neutral"
"disappointed.	0","Neutral"
"Kind of flops around.	0","Neutral"
"The screen does get smudged easily because it touches your ear and face.	0","Negative"
"What a piece of junk.. I lose more calls on this phone.	0","Very Negative"
"Item Does Not Match Picture.	0","Negative"
"The only thing that disappoint me is the infra red port (irda).	0","Negative"
"You can not answer calls with the unit","Negative"
